"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BNL","2019-05-06","1726","1760","1726","1760","3.96 %","20.00"
"BNL","2019-10-10","1795","1830","1795","1830","3.98 %","134.00"
"BNL","2021-08-01","1866.6","1903.9","1866.6","1903.9","4.04 %","360.00"
"BNL","2022-05-17","1941.9","1941.9","1941.9","1941.9","2.00 %","21.00"
"BNL","2022-09-13","1980.7","2136","1980.7","2136","10.00 %","52.00"
"BNL","2022-09-14","2178.7","2178.7","2178.7","2178.7","2.00 %","10.00"
"BNL","2022-09-25","2222.2","2222.2","2222.2","2222.2","2.00 %","10.00"
"BNL","2023-07-11","2266.6","2311.9","2266.6","2311.9","4.04 %","20.00"
"BNL","2023-08-07","2358.1","2405.2","2358.1","2405.2","4.04 %","20.00"
"BNL","2023-09-24","2453.3","2453.3","2453.3","2453.3","2.00 %","22.00"
"BNL","2023-12-11","2502.3","2698.6","2502.3","2698.6","10.00 %","50.00"
"BNL","2023-12-12","2752.5","2968.4","2752.5","2968.4","10.00 %","50.00"
"BNL","2023-12-13","3027.7","3265.2","3027.7","3265.2","10.00 %","50.00"
"BNL","2023-12-14","3330.5","3591.7","3330.5","3591.7","10.00 %","50.00"
"BNL","2023-12-17","3663.5","3950.8","3663.5","3950.8","10.00 %","50.00"
"BNL","2023-12-18","3950.7","4345.8","3950.7","4345.8","10.00 %","60.00"
"BNL","2023-12-19","4432.7","4780.3","4432.7","4780.3","10.00 %","50.00"
"BNL","2023-12-20","4875.9","5258.3","4875.9","5258.3","10.00 %","50.00"
"BNL","2023-12-21","5363.4","5784.1","5363.4","5784.1","10.00 %","50.00"
"BNL","2023-12-24","5899.7","6362.5","5899.7","6362.5","10.00 %","50.00"
"BNL","2023-12-27","6235.5","6235.5","6235.5","6235.5","-2.00 %","10.00"
"BNL","2024-01-31","6360.2","6360.2","6360.2","6360.2","2.00 %","10.00"
"BNL","2024-02-12","6487.4","6996.2","6487.4","6996.2","10.00 %","50.00"
"BNL","2024-02-13","7136.1","7695.8","7136.1","7695.8","10.00 %","50.00"
"BNL","2024-02-14","7849.7","8465.3","7849.7","8465.3","10.00 %","50.00"
"BNL","2024-02-15","8634.6","9311.8","8634.6","9311.8","10.00 %","50.00"
"BNL","2024-02-18","9498","10242.9","9498","10242.9","10.00 %","60.00"
"BNL","2024-02-20","10447.7","11267.1","10447.7","11267.1","10.00 %","50.00"
"BNL","2024-02-21","11492.4","12393.8","11492.4","12393.8","10.00 %","50.00"
"BNL","2024-02-22","12641.6","13415.2","12641.6","13415.2","8.24 %","40.00"
"BNL","2024-02-25","13683.5","14756.7","13683.5","14756.7","10.00 %","61.00"
"BNL","2024-02-26","15051.8","16232.3","15051.8","16232.3","10.00 %","50.00"
"BNL","2024-02-27","16556.9","17855.5","16556.9","17855.5","10.00 %","50.00"
"BNL","2024-02-28","18205","19641","17855.5","19641","10.00 %","220.00"
"BNL","2024-02-29","20033.8","21605.1","20033.8","21605.1","10.00 %","70.00"
"BNL","2024-03-03","22037.2","23765.6","19511","22834","5.69 %","687.00"
"BNL","2024-03-04","23290.6","23290.6","23290.6","23290.6","2.00 %","10.00"
"BNL","2024-03-05","23756.4","23756.4","20961.6","20962","-10.00 %","366.00"
"BNL","2024-03-06","20542.8","21381","19336","21000","0.18 %","160.00"
"BNL","2024-03-07","20580","21500","18900","21500","2.38 %","330.00"
"BNL","2024-03-12","21070","21070","21070","21070","-2.00 %","10.00"
"BNL","2024-03-14","20648.6","20648.6","20648.6","20648.6","-2.00 %","10.00"
"BNL","2024-03-17","20235.7","20235.7","20235.7","20235.7","-2.00 %","10.00"
"BNL","2024-03-20","19831","19831","18350","18350","-9.32 %","60.00"
"BNL","2024-03-21","17983","17983","16615","16615","-9.46 %","241.00"
"BNL","2024-03-25","16947.3","18276.5","16947.3","18276.5","10.00 %","80.00"
"BNL","2024-03-26","18500","20104.1","18500","18543.6","1.46 %","150.00"
"BNL","2024-03-27","18200","18360","18000","18360","-0.99 %","80.00"
"BNL","2024-03-28","18500","18727.2","18300","18300","-0.33 %","89.00"
"BNL","2024-03-31","17950","17950","16901.4","16901.4","-7.64 %","40.00"
"BNL","2024-04-01","17239.4","17584.1","17239.4","17250.2","2.06 %","30.00"
"BNL","2024-04-02","17595.2","17595.2","17595.2","17595.2","2.00 %","10.00"
"BNL","2024-04-03","17243.3","17243.3","17243.3","17243.3","-2.00 %","10.00"
"BNL","2024-04-04","16899","16899","16899","16899","-2.00 %","10.00"
"BNL","2024-04-07","16700","16800.1","16366","16599","-1.78 %","141.00"
"BNL","2024-04-09","16267.1","16267.1","15630","15942.6","-3.95 %","100.00"
"BNL","2024-04-10","15700","16918.3","15400","16918.3","6.12 %","210.00"
"BNL","2024-04-14","16600","17222","16580","17222","1.80 %","50.00"
"BNL","2024-04-15","16877.6","16877.6","16210","16210","-5.88 %","40.00"
"BNL","2024-04-16","15885.8","15885.8","15885.8","15885.8","-2.00 %","10.00"
"BNL","2024-04-18","15580","15580","15580","15580","-1.92 %","10.00"
"BNL","2024-04-21","15269.2","15570","15269.2","15570","-0.06 %","20.00"
"BNL","2024-04-22","15881.4","15881.4","15484.1","15484.1","-0.55 %","30.00"
"BNL","2024-04-24","15793.7","16109","15793.7","16109","4.04 %","20.00"
