"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GBIME","2020-02-04","303","303","285","287","-0.69 %","130,237.00"
"GBIME","2020-02-05","288","289","285","286","-0.35 %","75,127.00"
"GBIME","2020-02-06","286","287","282","283","-1.05 %","86,132.00"
"GBIME","2020-02-09","284","286","280","282","-0.35 %","125,577.00"
"GBIME","2020-02-10","283","284","280","281","-0.35 %","69,987.00"
"GBIME","2020-02-11","280","284","280","281","0.00 %","98,692.00"
"GBIME","2020-02-12","286","286","279","279","-0.71 %","101,537.00"
"GBIME","2020-02-13","281","282","276","276","-1.08 %","83,237.00"
"GBIME","2020-02-16","276","280","275","278","0.72 %","61,469.00"
"GBIME","2020-02-17","279","291","278","286","2.88 %","127,999.00"
"GBIME","2020-02-18","290","291","284","286","0.00 %","110,095.00"
"GBIME","2020-02-19","289","289","283","284","-0.70 %","94,212.00"
"GBIME","2020-02-20","284","286","281","283","-0.35 %","146,755.00"
"GBIME","2020-02-23","281","300","281","297","4.95 %","254,005.00"
"GBIME","2020-02-24","297","302","290","292","-1.68 %","306,383.00"
"GBIME","2020-02-25","306","306","288","292","0.00 %","126,206.00"
"GBIME","2020-02-26","290","299","290","296","1.37 %","262,409.00"
"GBIME","2020-02-27","295","309","292","306","3.38 %","385,364.00"
"GBIME","2020-03-01","306","325","307","312","1.96 %","821,022.00"
"GBIME","2020-03-02","307","313","296","300","-3.85 %","247,421.00"
"GBIME","2020-03-03","300","307","290","300","0.00 %","321,160.00"
"GBIME","2020-03-04","300","305","285","288","-4.00 %","258,628.00"
"GBIME","2020-03-05","290","290","285","286","-0.69 %","208,951.00"
"GBIME","2020-03-10","286","286","270","270","-5.59 %","167,615.00"
"GBIME","2020-03-11","275","285","268","280","3.70 %","191,117.00"
"GBIME","2020-03-12","281","281","273","274","-2.14 %","163,351.00"
"GBIME","2020-03-15","275","275","266","266","-2.92 %","166,996.00"
"GBIME","2020-03-16","271","271","260","265","-0.38 %","131,315.00"
"GBIME","2020-03-17","264","266","258","259","-2.26 %","133,400.00"
"GBIME","2020-03-18","259","259","249","254","-1.93 %","161,717.00"
"GBIME","2020-03-19","249","258","236","255","0.39 %","152,312.00"
"GBIME","2020-03-22","258","260","248","248","-2.75 %","20,871.00"
"GBIME","2020-05-12","244","244","241","241","-2.82 %","871.00"
