"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PIC","2019-07-07","505","508","494","501","-2.35 %","9,155.00"
"PIC","2019-07-08","500","510","500","500","-0.20 %","5,113.00"
"PIC","2019-07-09","500","500","491","494","-1.20 %","3,533.00"
"PIC","2019-07-10","494","498","482","484","-2.02 %","6,484.00"
"PIC","2019-07-11","478","490","478","480","-0.83 %","2,729.00"
"PIC","2019-07-14","480","488","480","484","0.83 %","3,644.00"
"PIC","2019-07-15","492","499","483","495","2.27 %","4,424.00"
"PIC","2019-07-16","519","519","488","490","-1.01 %","2,604.00"
"PIC","2019-07-17","490","497","490","496","1.22 %","2,067.00"
"PIC","2019-07-18","500","500","490","492","-0.81 %","1,607.00"
"PIC","2019-07-21","488","495","486","495","0.61 %","867.00"
"PIC","2019-07-22","494","494","488","491","-0.81 %","890.00"
"PIC","2019-07-23","492","492","486","488","-0.61 %","1,979.00"
"PIC","2019-07-24","488","491","486","489","0.20 %","1,887.00"
"PIC","2019-07-25","482","493","482","485","-0.82 %","2,663.00"
"PIC","2019-07-28","482","482","470","471","-2.89 %","3,812.00"
"PIC","2019-07-29","465","477","465","470","-0.21 %","2,091.00"
"PIC","2019-07-30","470","475","466","466","-0.85 %","1,796.00"
"PIC","2019-07-31","467","475","466","474","1.72 %","1,188.00"
"PIC","2019-08-01","479","479","470","474","0.00 %","787.00"
"PIC","2019-08-04","483","483","476","478","0.84 %","2,725.00"
"PIC","2019-08-05","478","480","477","478","0.00 %","1,885.00"
"PIC","2019-08-06","478","479","475","479","0.21 %","1,870.00"
"PIC","2019-08-07","480","480","469","470","-1.88 %","716.00"
"PIC","2019-08-08","470","475","465","475","1.06 %","1,898.00"
"PIC","2019-08-11","471","473","460","473","-0.42 %","967.00"
"PIC","2019-08-12","464","474","460","470","-0.63 %","1,017.00"
"PIC","2019-08-13","468","474","463","463","-1.49 %","826.00"
"PIC","2019-08-14","463","466","460","460","-0.65 %","842.00"
"PIC","2019-08-15","469","469","456","460","0.00 %","236.00"
"PIC","2019-08-18","457","458","455","455","-1.09 %","1,368.00"
"PIC","2019-08-19","455","467","455","460","1.10 %","1,361.00"
"PIC","2019-08-20","452","460","452","460","0.00 %","1,582.00"
