"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CMF1","2019-06-10","9.58","9.58","9.57","9.58","-1.84 %","6,800.00"
"CMF1","2019-06-11","9","9.5","9.5","9.5","-0.84 %","1,000.00"
"CMF1","2019-06-12","9","9.5","9.5","9.5","0.00 %","600.00"
"CMF1","2019-06-13","9","9.5","9.42","9.42","-0.84 %","5,500.00"
"CMF1","2019-06-16","9","9.45","9.45","9.45","0.32 %","250.00"
"CMF1","2019-06-17","9","9.65","9.47","9.55","1.06 %","5,900.00"
"CMF1","2019-06-18","9","9.66","9.65","9.65","1.05 %","5,500.00"
"CMF1","2019-06-19","9","9.84","9.65","9.84","1.97 %","350.00"
"CMF1","2019-06-20","9","9.7","9.65","9.65","-1.93 %","4,600.00"
"CMF1","2019-06-23","9","9.56","9.55","9.55","-1.04 %","1,000.00"
"CMF1","2019-06-24","9","9.6","9.55","9.6","0.52 %","1,000.00"
"CMF1","2019-06-25","9","9.43","9.43","9.43","-1.77 %","3,000.00"
"CMF1","2019-06-26","9","9.59","9.25","9.59","1.70 %","3,750.00"
"CMF1","2019-06-27","9","9.77","9.65","9.65","0.63 %","2,200.00"
"CMF1","2019-06-30","9","9.65","9.47","9.47","-1.87 %","6,400.00"
"CMF1","2019-07-01","9","9.53","9.53","9.53","0.63 %","1,000.00"
"CMF1","2019-07-02","9","9.53","9.35","9.53","0.00 %","1,100.00"
"CMF1","2019-07-04","9","9.34","9.34","9.34","-1.99 %","1,000.00"
"CMF1","2019-07-07","9","9.42","9.4","9.42","0.86 %","2,100.00"
"CMF1","2019-07-08","9","9.5","9.5","9.5","0.85 %","1,000.00"
"CMF1","2019-07-09","9","9.33","9.33","9.33","-1.79 %","200.00"
"CMF1","2019-07-10","9","9.35","9.3","9.35","0.21 %","200.00"
"CMF1","2019-07-11","9","9.45","9.4","9.45","1.07 %","300.00"
"CMF1","2019-07-14","9","9.6","9.45","9.45","0.00 %","1,100.00"
"CMF1","2019-07-15","9","9.4","9.4","9.4","-0.53 %","2,000.00"
"CMF1","2019-07-16","9","10.18","9.58","10.18","8.30 %","6,300.00"
"CMF1","2019-07-21","10","10.05","10.05","10.05","-1.28 %","2,000.00"
"CMF1","2019-07-22","9","9.95","9.9","9.9","-1.49 %","14,550.00"
"CMF1","2019-07-23","9","10.05","9.95","10","1.01 %","16,900.00"
"CMF1","2019-07-24","10","10","9.87","9.87","-1.30 %","2,200.00"
"CMF1","2019-07-28","9","9.8","9.71","9.8","-0.71 %","2,100.00"
"CMF1","2019-07-29","9","9.8","9.8","9.8","0.00 %","5,150.00"
"CMF1","2019-07-30","9","9.92","9.92","9.92","1.22 %","250.00"
"CMF1","2019-07-31","10","10.11","10","10","0.81 %","25,850.00"
"CMF1","2019-08-01","10","10.2","10","10","0.00 %","2,400.00"
"CMF1","2019-08-04","10","10","10","10","0.00 %","3,500.00"
"CMF1","2019-08-05","10","10","10","10","0.00 %","6,200.00"
"CMF1","2019-08-07","10","10.2","10","10","0.00 %","22,610.00"
"CMF1","2019-08-08","9","9.9","9.81","9.9","-1.00 %","300.00"
"CMF1","2019-08-12","9","10.08","9.89","10.08","1.82 %","19,100.00"
"CMF1","2019-08-14","9","9.88","9.85","9.85","-2.28 %","16,100.00"
